group,query,rank,id,title,author,likes,comments,score,detail_sample
paiban_animal,小动物 精神状态,3,6736f895000000003c0186fd,抽象表情包｜快来学习大鹅的精神状态🪿✌🏻,溺海选手,13329,443,13,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""items"": [       {         ""id"": ""6736f895000000003c0186fd"",         ""model_type"": ""note"",         ""note_card"": {           ""at_user_list"": [],           ""time"": 1731655829000,           ""type"": ""normal"",           ""title"": ""抽象表情包｜快来学习大鹅的精神状态🪿✌🏻"",           ""desc"": ""生活试图把我打扁\n结果发现我软糯拉丝\n\t\n#表情包[话题]# #每日表情包分享[话题]# #可可爱爱表情包[话题]#\n#表情包分享[话题]# #我最爱的表情包[话题]# #搞笑表情包[话题]#\n#溺海选手[话题]# #原创表情包[话题]# #微信表情包[话题]#"",           ""interact_info"": {             ""followed"": false,             ""relation"": ""none"",             ""liked"": false,             ""liked_count"": ""1.3万"",             ""collected"": false,             ""collected_count"": ""4125"",             ""comment_count"": ""443"",             ""share_count"": ""3570""           },           ""image_list"": [             {               ""file_id"": """",               ""width"": 1668,               ""trace_id"": """",               ""info_list"": [                 {                   ""image_scene"": ""WB_PRV"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/cc53f08be7a2598a18782917ceb7c6ff/1040g00831a7c2qr97a005ngb17c085vtvfn6328!nd_prv_wlteh_webp_3""                 },                 {       "
paiban_animal,小动物 精神状态,1,68ddfdbb0000000007000d03,梗图‖邪恶小比的超绝精神状态,33就去追风吧,11333,403,10,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""id"": ""68ddfdbb0000000007000d03"",         ""model_type"": ""note"",         ""note_card"": {           ""type"": ""normal"",           ""image_list"": [             {               ""file_id"": """",               ""width"": 1080,               ""trace_id"": """",               ""stream"": {},               ""live_photo"": false,               ""height"": 1440,               ""url"": """",               ""info_list"": [                 {                   ""image_scene"": ""WB_PRV"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/a68c8092e368c65c3272411be24ec5e8/notes_pre_post/1040g3k031n4fe1jd506g5nrq99h0bmj0ska5tp0!nd_prv_wlteh_webp_3""                 },                 {                   ""image_scene"": ""WB_DFT"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/be95d0fba4087bceb9f7843a44e8b53f/notes_pre_post/1040g3k031n4fe1jd506g5nrq99h0bmj0ska5tp0!nd_dft_wlteh_webp_3""                 }               ],               ""url_pre"": ""http://sns-webpic-qc.xhscdn.com/202605081929/a68c8092e368c65c3272411be24ec5e8/notes_pre_post/1040g3k031n4fe1jd506g5nrq99h0bmj0ska5tp0!nd_p"
paiban_animal,排版小动物 文案,5,694e565c000000001e033a84,🍞自存一些古早味萌萌文案• ･*･:≡(　ε:)★,四维岛屿,15511,87,8,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""id"": ""694e565c000000001e033a84"",         ""model_type"": ""note"",         ""note_card"": {           ""type"": ""normal"",           ""user"": {             ""user_id"": ""60f26b530000000001000652"",             ""nickname"": ""四维岛屿"",             ""avatar"": ""https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31umk6ockig0g5o7idd9g81iifdiatd8"",             ""xsec_token"": ""AB1POxh8dHeV9JFp29BRNDl9kHxMKCGbM8mjy_X4r_ytY=""           },           ""interact_info"": {             ""share_count"": ""444"",             ""followed"": false,             ""relation"": ""none"",             ""liked"": false,             ""liked_count"": ""1.6万"",             ""collected"": false,             ""collected_count"": ""4770"",             ""comment_count"": ""87""           },           ""image_list"": [             {               ""live_photo"": false,               ""file_id"": """",               ""height"": 1920,               ""width"": 1440,               ""trace_id"": """",               ""url_pre"": ""http://sns-webpic-qc.xhscdn.com/202605081929/3be16b5b26f2bb75b5b2e1b76f7032f4/1040g00831qi44k60g01g5o7idd9g81ii2vgmpf0!nd_prv_wlteh_webp_3"",              "
paiban_animal,排版小动物,1,69c266100000000022026bbe,当初为女朋友开发的app已经有60w人用过啦,阿T爱碎碎念,5272,201,5,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""id"": ""69c266100000000022026bbe"",         ""model_type"": ""note"",         ""note_card"": {           ""at_user_list"": [],           ""last_update_time"": 1775012903000,           ""share_info"": {             ""un_share"": false           },           ""note_id"": ""69c266100000000022026bbe"",           ""desc"": ""当初只是想给女朋友做一个可爱的排版小工具，因为她记录日常很容易被选分类/加标签/调格式劝退，我就把流程做得尽量轻，想到什么就能一键写下来，排版的事交给模板和小组件去处理，记录不该变成压力，而是把当下的情绪和碎片妥帖安放。\n\t\n后来慢慢发现，很多人其实需要的不是更“聪明”的复杂功能，而是一款不催你变好、允许你慢慢来、把体验细节认真打磨的慢产品，不做夸张人设、不逼你打卡、你今天开心或不开心都可以被妥帖收容。\n\t\n没想到一路做着做着，这个当初为女朋友开发的app，已经有60w人用过了，想把它分享给更多也在认真生活、但又不想被“记录”这件事绑架的人。如果你也喜欢可爱排版、随手记、轻量又治愈的感觉，欢迎来试试。\n\t\n#个人开发者[话题]# #软件开发[话题]# #小众APP[话题]# #开发者社区[话题]# #排版小动物[话题]# #APP设计[话题]##宝藏APP[话题]#  #宝藏软件[话题]# #UI界面设计[话题]# #小程序开发[话题]#"",           ""interact_info"": {             ""collected"": false,             ""collected_count"": ""1931"",             ""comment_count"": ""201"",             ""share_count"": ""880"",             ""followed"": false,             ""relation"": ""none"",             ""liked"": false,             ""liked_count"": ""5272""           },           ""image_list"": [             {         "
paiban_animal,小动物 精神状态,4,695f28a2000000000d00b968,别惹，精神状态良好,喵星来的开心超人,4966,186,5,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""id"": ""695f28a2000000000d00b968"",         ""model_type"": ""note"",         ""note_card"": {           ""tag_list"": [             {               ""id"": ""5be16060743d3a000186cfe9"",               ""name"": ""表情包"",               ""type"": ""topic""             },             {               ""id"": ""5bf767a6f4bfaf0001482f76"",               ""name"": ""猫咪表情包"",               ""type"": ""topic""             },             {               ""id"": ""5dd4ddae00000000010060bc"",               ""name"": ""精神状态"",               ""type"": ""topic""             },             {               ""id"": ""5bea0fae86535d0001b94095"",               ""name"": ""搞笑表情包"",               ""type"": ""topic""             },             {               ""id"": ""677ac9740000000004014035"",               ""name"": ""打工人的精神状态"",               ""type"": ""topic""             },             {               ""id"": ""63523f920000000001003cd0"",               ""name"": ""当代年轻人的精神状态"",               ""type"": ""topic""             },             {               ""id"": ""612db4120000000001002f67"",               ""name"": ""发疯文学"",               ""type"": ""topic""             }           ],"
paiban_animal,小动物 精神状态,5,65c484bc000000002d000ea0,精神状态稳定（fafeng）鼠鼠表情包,常日如绵,430,7,4,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""note_card"": {           ""note_id"": ""65c484bc000000002d000ea0"",           ""type"": ""normal"",           ""title"": ""精神状态稳定（fafeng）鼠鼠表情包"",           ""desc"": ""今天也是鼠鼠精神状态稳定的一天呢#发疯表情包[话题]# #精神状态良好[话题]# #精神状态[话题]# #大学生精神状态[话题]# #表情包分享[话题]# #可爱表情包[话题]# #我最爱的表情包[话题]# #表情包[话题]# #鼠鼠[话题]# #想鼠[话题]# #花枝鼠宝宝[话题]# #不想上班[话题]# #鼠鼠我呀[话题]#"",           ""at_user_list"": [],           ""time"": 1707377852000,           ""share_info"": {             ""un_share"": false           },           ""user"": {             ""user_id"": ""611ca0000000000001005275"",             ""nickname"": ""常日如绵"",             ""avatar"": ""https://sns-avatar-qc.xhscdn.com/avatar/611ca0000000000001005275.jpg"",             ""xsec_token"": ""ABrbWpY1WbKo5MOrG0gSM-0INukTxCRYbCVRZ4U-XX65c=""           },           ""interact_info"": {             ""collected_count"": ""115"",             ""comment_count"": ""7"",             ""share_count"": ""37"",             ""followed"": false,             ""relation"": ""none"",             ""liked"": false,             ""liked_count"": ""430"",             ""collected"": false           },           ""image_list"": [             {            "
paiban_animal,排版小动物,6,69f4850e000000002202763c,人，请查收你的电子日记本！,排版小动物,460,141,3,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""items"": [       {         ""id"": ""69f4850e000000002202763c"",         ""model_type"": ""note"",         ""note_card"": {           ""at_user_list"": [],           ""share_info"": {             ""un_share"": false           },           ""title"": ""人，请查收你的电子日记本！"",           ""image_list"": [             {               ""url_pre"": ""http://sns-webpic-qc.xhscdn.com/202605081929/34013e70afd3768823e83e4802ada5b6/notes_pre_post/1040g3k831vkf3gp72q805q4sakgm8jqhn4g0298!nd_prv_wlteh_webp_3"",               ""url_default"": ""http://sns-webpic-qc.xhscdn.com/202605081929/eda68f4217e95ca2da0d1b09610ef878/notes_pre_post/1040g3k831vkf3gp72q805q4sakgm8jqhn4g0298!nd_dft_wlteh_webp_3"",               ""stream"": {                 ""av1"": [],                 ""h264"": [                   {                     ""master_url"": ""http://sns-video-hs.xhscdn.com/stream/1/10/19/01e9f484a11fdc1c010050039de327e528_19.mp4?sign=8904a80127350980dd5a4763042fa7bc&t=6a026655"",                     ""backup_urls"": [                       ""http://sns-bak-v1.xhscdn.com/stream/1/10/19/01e9f484a11fdc1c010050039de327e528_19.mp4""                     ]                   }                 ],      "
paiban_animal,排版小动物 文案,3,69772669000000002801ca73,分享10万人用过的电子手帐模板！,排版小动物,2305,253,3,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""current_time"": 1778239766967,     ""cursor_score"": """",     ""items"": [       {         ""id"": ""69772669000000002801ca73"",         ""model_type"": ""note"",         ""note_card"": {           ""user"": {             ""xsec_token"": ""ABab3UhCgZG5vSbX7j-IRRPmgUm6hsAu-DOsD1_itWvf0="",             ""user_id"": ""689c55210000000019004f51"",             ""nickname"": ""排版小动物"",             ""avatar"": ""https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31lea9trile005q4sakgm8jqh0up2d10""           },           ""image_list"": [             {               ""file_id"": """",               ""width"": 1290,               ""url"": """",               ""url_pre"": ""http://sns-webpic-qc.xhscdn.com/202605081929/73ae7595e79dca0480e6503618c3fd68/1040g00831rq2vvqvia005q6jrp06sga0haqpm6g!nd_prv_wlteh_webp_3"",               ""height"": 1718,               ""trace_id"": """",               ""info_list"": [                 {                   ""image_scene"": ""WB_PRV"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/73ae7595e79dca0480e6503618c3fd68/1040g00831rq2vvqvia005q6jrp06sga0haqpm6g!nd_prv_wlteh_webp_3""                 },                 {                   ""image_scen"
status_sticker,吉伊卡哇 精神状态,10,68fb38b70000000005011677,微信状态-该用户正在吃苦,有趣的兔子,36257,1239,16,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""current_time"": 1778239769177,     ""cursor_score"": """",     ""items"": [       {         ""model_type"": ""note"",         ""note_card"": {           ""image_list"": [             {               ""stream"": {},               ""live_photo"": false,               ""file_id"": """",               ""height"": 1572,               ""width"": 1180,               ""trace_id"": """",               ""url_default"": ""http://sns-webpic-qc.xhscdn.com/202605081929/9b36ef11f1a21d64994d187ee7d00445/1040g2sg31o0uug696mdg5o24c3308flhevt6a2o!nd_dft_wlteh_webp_3"",               ""url"": """",               ""info_list"": [                 {                   ""image_scene"": ""WB_PRV"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/71db5f937147e5644b08dcc153f68f78/1040g2sg31o0uug696mdg5o24c3308flhevt6a2o!nd_prv_wlteh_webp_3""                 },                 {                   ""image_scene"": ""WB_DFT"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/9b36ef11f1a21d64994d187ee7d00445/1040g2sg31o0uug696mdg5o24c3308flhevt6a2o!nd_dft_wlteh_webp_3""                 }               ],               ""url_pre"": ""http://sns-webpic-qc.xhscdn.com/"
status_sticker,微信状态 小动物,9,688a0c560000000025022fb8,今天不需要人陪，我自己玩！,这狗,135731,3493,14,"{   ""ok"": true,   ""schema_version"": ""1"",   ""data"": {     ""cursor_score"": """",     ""items"": [       {         ""note_card"": {           ""title"": ""今天不需要人陪，我自己玩！"",           ""desc"": ""老大对不起\n说着“不需要人陪”什么的\n这种酷酷的话\n只是想显得我很厉害。˚‧º·(˚ ˃̣̣̥᷄⌓˂̣̣̥᷅ )‧º·。\n#这狗[话题]# #这狗表情包[话题]#"",           ""user"": {             ""nickname"": ""这狗"",             ""avatar"": ""https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo319gdldm07e205og8u92gjuhc9ac2ra8"",             ""xsec_token"": ""ABp9uDFlhBbFBURqsvTGpD3dYTo0S-fQ5GU8wPsh2Vp8A="",             ""user_id"": ""6208f245000000000201fa2c""           },           ""image_list"": [             {               ""info_list"": [                 {                   ""image_scene"": ""WB_PRV"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/32ad6b108b106a4de76ddc8ded9928fe/notes_pre_post/1040g3k031kig6oskig4g5og8u92gjuhca8g3f50!nd_prv_wlteh_webp_3""                 },                 {                   ""image_scene"": ""WB_DFT"",                   ""url"": ""http://sns-webpic-qc.xhscdn.com/202605081929/e695bf8be880780516af70af25c90aa4/notes_pre_post/1040g3k031kig6oskig4g5og8u92gjuhca8g3f50!nd_dft_wlteh_webp_3""                 }               ],               ""url_pre"": ""http:/"
